nct_id,country
NCT00090324,Poland
NCT00090324,Russian Federation
NCT00090324,Serbia
NCT00090324,South Africa
NCT00090324,Ukraine
NCT00090376,United States
NCT00090402,United States
NCT00091468,United States
NCT00091650,United States
NCT00091650,Belgium
NCT00091650,France
NCT00091650,Germany
NCT00091650,Norway
NCT00091650,Portugal
NCT00091650,Spain
NCT00091650,Sweden
NCT00091650,United Kingdom
NCT00091845,
NCT00091897,United States
NCT00091949,United States
NCT00091949,Australia
NCT00091949,Canada
NCT00091949,Germany
NCT00091949,Israel
NCT00091949,Italy
NCT00091949,Puerto Rico
NCT00091949,United Kingdom
NCT00091962,United States
NCT00092469,
NCT00092911,
NCT00092963,
NCT00093275,United States
NCT00093275,Australia
NCT00093275,Germany
NCT00093275,India
NCT00093275,United Kingdom
NCT00093847,United States
NCT00093860,United States
NCT00093951,United States
NCT00094172,United States
NCT00094172,Canada
NCT00094289,United States
NCT00094315,United States
NCT00094549,United States
NCT00094549,Lithuania
NCT00094549,Puerto Rico
NCT00094549,Romania
NCT00094549,Russian Federation
NCT00094614,United States
NCT00094640,Australia
NCT00094640,Belgium
NCT00094640,Brazil
NCT00094640,Croatia
NCT00094640,Czech Republic
NCT00094640,Mexico
NCT00094640,Slovakia
NCT00094640,Spain
NCT00094692,United States
NCT00094926,
NCT00095004,
NCT00095251,United States
NCT00095355,United States
NCT00095511,United States
NCT00095524,United States
NCT00095524,Brazil
NCT00095524,United Kingdom
NCT00095719,United States
NCT00095810,United States
NCT00096473,United States
NCT00096473,Australia
NCT00096473,Canada
NCT00096473,France
NCT00096473,Ireland
NCT00096473,United Kingdom
NCT00096720,United States
NCT00096798,United States
NCT00096863,United States
NCT00097032,
NCT00097188,United States
NCT00097266,United States
NCT00097266,Bulgaria
NCT00097266,Croatia
NCT00097266,Mexico
NCT00097266,Peru
NCT00097266,Russian Federation
NCT00097266,South Africa
NCT00097318,United States
NCT00097331,Belgium
NCT00097331,Germany
NCT00097331,Poland
NCT00097331,Russian Federation
NCT00097331,Spain
NCT00097474,United States
NCT00097604,United States
NCT00097669,India
NCT00097669,Italy
NCT00097669,United States
NCT00097669,Australia
NCT00097669,Austria
NCT00097669,Belgium
